date,hour,weekday,month,load,Temp
1/1/2004,1,4,1,16853.0,46.0
1/1/2004,2,4,1,16450.0,46.0
1/1/2004,3,4,1,16517.0,45.0
1/1/2004,4,4,1,16873.0,41.0
1/1/2004,5,4,1,17064.0,39.0
1/1/2004,6,4,1,17727.0,35.0
1/1/2004,7,4,1,18574.0,33.0
1/1/2004,8,4,1,19355.0,33.0
1/1/2004,9,4,1,19534.0,36.0
1/1/2004,10,4,1,18611.0,47.0
1/1/2004,11,4,1,17666.0,53.0
1/1/2004,12,4,1,16374.0,54.0
1/1/2004,13,4,1,15106.0,55.0
1/1/2004,14,4,1,14455.0,55.0
1/1/2004,15,4,1,13518.0,55.0
1/1/2004,16,4,1,13138.0,55.0
1/1/2004,17,4,1,14130.0,52.0
1/1/2004,18,4,1,16809.0,46.0
1/1/2004,19,4,1,18150.0,40.0
1/1/2004,20,4,1,18235.0,40.0
1/1/2004,21,4,1,17925.0,39.0
1/1/2004,22,4,1,16904.0,38.0
1/1/2004,23,4,1,16162.0,40.0
1/1/2004,24,4,1,14750.0,41.0
2/1/2004,1,5,1,14155.0,43.0
2/1/2004,2,5,1,14038.0,44.0
2/1/2004,3,5,1,14019.0,46.0
2/1/2004,4,5,1,14489.0,46.0
2/1/2004,5,5,1,14920.0,47.0
2/1/2004,6,5,1,16072.0,47.0
2/1/2004,7,5,1,17800.0,47.0
2/1/2004,8,5,1,19089.0,47.0
2/1/2004,9,5,1,19577.0,47.0
2/1/2004,10,5,1,20047.0,47.0
2/1/2004,11,5,1,19770.0,47.0
2/1/2004,12,5,1,18564.0,49.0
2/1/2004,13,5,1,18137.0,52.0
2/1/2004,14,5,1,17046.0,56.0
2/1/2004,15,5,1,16127.0,54.0
2/1/2004,16,5,1,15448.0,56.0
2/1/2004,17,5,1,15839.0,57.0
2/1/2004,18,5,1,17727.0,53.0
2/1/2004,19,5,1,18895.0,50.0
2/1/2004,20,5,1,18650.0,47.0
2/1/2004,21,5,1,18443.0,46.0
2/1/2004,22,5,1,17580.0,45.0
2/1/2004,23,5,1,16467.0,45.0
2/1/2004,24,5,1,15258.0,45.0
3/1/2004,1,6,1,14439.0,45.0
3/1/2004,2,6,1,14272.0,46.0
3/1/2004,3,6,1,14109.0,46.0
3/1/2004,4,6,1,14081.0,44.0
3/1/2004,5,6,1,14775.0,43.0
3/1/2004,6,6,1,15491.0,46.0
3/1/2004,7,6,1,16536.0,46.0
3/1/2004,8,6,1,18197.0,47.0
3/1/2004,9,6,1,19109.0,51.0
3/1/2004,10,6,1,18012.0,55.0
3/1/2004,11,6,1,17200.0,56.0
3/1/2004,12,6,1,15950.0,59.0
3/1/2004,13,6,1,14978.0,65.0
3/1/2004,14,6,1,14162.0,68.0
3/1/2004,15,6,1,13507.0,69.0
3/1/2004,16,6,1,13414.0,68.0
3/1/2004,17,6,1,13826.0,68.0
3/1/2004,18,6,1,15825.0,65.0
3/1/2004,19,6,1,16996.0,64.0
3/1/2004,20,6,1,16394.0,63.0
3/1/2004,21,6,1,15406.0,62.0
3/1/2004,22,6,1,14278.0,63.0
3/1/2004,23,6,1,13315.0,63.0
3/1/2004,24,6,1,12424.0,62.0
4/1/2004,1,7,1,11273.0,63.0
4/1/2004,2,7,1,10415.0,62.0
4/1/2004,3,7,1,9943.0,62.0
4/1/2004,4,7,1,9859.0,62.0
4/1/2004,5,7,1,9881.0,60.0
4/1/2004,6,7,1,10248.0,60.0
4/1/2004,7,7,1,11016.0,60.0
4/1/2004,8,7,1,12780.0,62.0
4/1/2004,9,7,1,15108.0,60.0
4/1/2004,10,7,1,15680.0,64.0
4/1/2004,11,7,1,15280.0,64.0
4/1/2004,12,7,1,14605.0,66.0
4/1/2004,13,7,1,14689.0,71.0
4/1/2004,14,7,1,14642.0,70.0
4/1/2004,15,7,1,14207.0,71.0
4/1/2004,16,7,1,13614.0,72.0
4/1/2004,17,7,1,14162.0,71.0
4/1/2004,18,7,1,16237.0,68.0
4/1/2004,19,7,1,17430.0,67.0
4/1/2004,20,7,1,17218.0,67.0
4/1/2004,21,7,1,16633.0,65.0
4/1/2004,22,7,1,15238.0,64.0
4/1/2004,23,7,1,13580.0,65.0
