date,day,hour,load,month,weekday,zone,Temp
1/1/2004,1,1,"3,124",1,4,8,43.0
1/1/2004,1,2,"2,956",1,4,8,44.0
1/1/2004,1,3,"2,953",1,4,8,42.0
1/1/2004,1,4,"2,914",1,4,8,34.0
1/1/2004,1,5,"3,221",1,4,8,30.0
1/1/2004,1,6,"3,361",1,4,8,35.0
1/1/2004,1,7,"3,506",1,4,8,34.0
1/1/2004,1,8,"3,904",1,4,8,33.0
1/1/2004,1,9,"4,154",1,4,8,34.0
1/1/2004,1,10,"4,210",1,4,8,41.0
1/1/2004,1,11,"4,225",1,4,8,48.0
1/1/2004,1,12,"4,203",1,4,8,54.0
1/1/2004,1,13,"4,080",1,4,8,58.0
1/1/2004,1,14,"3,950",1,4,8,60.0
1/1/2004,1,15,"3,774",1,4,8,61.0
1/1/2004,1,16,"3,753",1,4,8,62.0
1/1/2004,1,17,"3,903",1,4,8,60.0
1/1/2004,1,18,"4,348",1,4,8,53.0
1/1/2004,1,19,"4,608",1,4,8,43.0
1/1/2004,1,20,"4,532",1,4,8,37.0
1/1/2004,1,21,"4,272",1,4,8,36.0
1/1/2004,1,22,"3,904",1,4,8,36.0
1/1/2004,1,23,"3,527",1,4,8,43.0
1/1/2004,1,24,"3,188",1,4,8,44.0
2/1/2004,2,1,"3,003",1,5,8,45.0
2/1/2004,2,2,"2,847",1,5,8,46.0
2/1/2004,2,3,"2,852",1,5,8,46.0
2/1/2004,2,4,"2,903",1,5,8,46.0
2/1/2004,2,5,"3,036",1,5,8,46.0
2/1/2004,2,6,"3,252",1,5,8,45.0
2/1/2004,2,7,"3,527",1,5,8,46.0
2/1/2004,2,8,"3,774",1,5,8,48.0
2/1/2004,2,9,"3,750",1,5,8,47.0
2/1/2004,2,10,"3,910",1,5,8,46.0
2/1/2004,2,11,"3,950",1,5,8,47.0
2/1/2004,2,12,"3,926",1,5,8,53.0
2/1/2004,2,13,"3,876",1,5,8,51.0
2/1/2004,2,14,"3,617",1,5,8,52.0
2/1/2004,2,15,"3,407",1,5,8,54.0
2/1/2004,2,16,"3,446",1,5,8,57.0
2/1/2004,2,17,"3,562",1,5,8,58.0
2/1/2004,2,18,"4,007",1,5,8,52.0
2/1/2004,2,19,"4,130",1,5,8,47.0
2/1/2004,2,20,"4,026",1,5,8,44.0
2/1/2004,2,21,"3,898",1,5,8,42.0
2/1/2004,2,22,"3,687",1,5,8,43.0
2/1/2004,2,23,"3,374",1,5,8,43.0
2/1/2004,2,24,"3,115",1,5,8,47.0
3/1/2004,3,1,"2,842",1,6,8,47.0
3/1/2004,3,2,"2,608",1,6,8,47.0
3/1/2004,3,3,"2,549",1,6,8,42.0
3/1/2004,3,4,"2,544",1,6,8,41.0
3/1/2004,3,5,"2,717",1,6,8,42.0
3/1/2004,3,6,"2,727",1,6,8,41.0
3/1/2004,3,7,"2,937",1,6,8,41.0
3/1/2004,3,8,"3,199",1,6,8,47.0
3/1/2004,3,9,"3,499",1,6,8,48.0
3/1/2004,3,10,"3,734",1,6,8,53.0
3/1/2004,3,11,"3,746",1,6,8,58.0
3/1/2004,3,12,"3,628",1,6,8,63.0
