date,day,hour,load,month,weekday,zone,Temp
1/1/2004,1,1,484,1,4,4,45.0
1/1/2004,1,2,457,1,4,4,43.0
1/1/2004,1,3,450,1,4,4,41.0
1/1/2004,1,4,448,1,4,4,37.0
1/1/2004,1,5,444,1,4,4,33.0
1/1/2004,1,6,490,1,4,4,32.0
1/1/2004,1,7,523,1,4,4,30.0
1/1/2004,1,8,581,1,4,4,29.0
1/1/2004,1,9,612,1,4,4,30.0
1/1/2004,1,10,633,1,4,4,41.0
1/1/2004,1,11,633,1,4,4,49.0
1/1/2004,1,12,599,1,4,4,54.0
1/1/2004,1,13,559,1,4,4,58.0
1/1/2004,1,14,546,1,4,4,59.0
1/1/2004,1,15,526,1,4,4,60.0
1/1/2004,1,16,507,1,4,4,60.0
1/1/2004,1,17,560,1,4,4,57.0
1/1/2004,1,18,619,1,4,4,51.0
1/1/2004,1,19,693,1,4,4,46.0
1/1/2004,1,20,663,1,4,4,43.0
1/1/2004,1,21,637,1,4,4,40.0
1/1/2004,1,22,605,1,4,4,37.0
1/1/2004,1,23,550,1,4,4,39.0
1/1/2004,1,24,522,1,4,4,42.0
2/1/2004,2,1,461,1,5,4,42.0
2/1/2004,2,2,438,1,5,4,44.0
2/1/2004,2,3,447,1,5,4,45.0
2/1/2004,2,4,439,1,5,4,45.0
2/1/2004,2,5,448,1,5,4,46.0
2/1/2004,2,6,485,1,5,4,46.0
2/1/2004,2,7,534,1,5,4,48.0
2/1/2004,2,8,549,1,5,4,48.0
2/1/2004,2,9,573,1,5,4,49.0
2/1/2004,2,10,616,1,5,4,50.0
2/1/2004,2,11,599,1,5,4,53.0
2/1/2004,2,12,556,1,5,4,55.0
2/1/2004,2,13,587,1,5,4,57.0
2/1/2004,2,14,559,1,5,4,58.0
2/1/2004,2,15,522,1,5,4,60.0
2/1/2004,2,16,490,1,5,4,62.0
2/1/2004,2,17,504,1,5,4,61.0
2/1/2004,2,18,584,1,5,4,54.0
2/1/2004,2,19,630,1,5,4,50.0
2/1/2004,2,20,634,1,5,4,46.0
2/1/2004,2,21,585,1,5,4,48.0
2/1/2004,2,22,602,1,5,4,48.0
2/1/2004,2,23,553,1,5,4,48.0
2/1/2004,2,24,481,1,5,4,48.0
3/1/2004,3,1,423,1,6,4,48.0
3/1/2004,3,2,406,1,6,4,48.0
3/1/2004,3,3,396,1,6,4,47.0
3/1/2004,3,4,379,1,6,4,49.0
3/1/2004,3,5,378,1,6,4,49.0
3/1/2004,3,6,403,1,6,4,49.0
3/1/2004,3,7,450,1,6,4,49.0
3/1/2004,3,8,474,1,6,4,49.0
3/1/2004,3,9,557,1,6,4,50.0
3/1/2004,3,10,561,1,6,4,53.0
3/1/2004,3,11,544,1,6,4,59.0
3/1/2004,3,12,489,1,6,4,63.0
3/1/2004,3,13,471,1,6,4,70.0
3/1/2004,3,14,437,1,6,4,72.0
3/1/2004,3,15,413,1,6,4,73.0
3/1/2004,3,16,397,1,6,4,73.0
3/1/2004,3,17,437,1,6,4,72.0
3/1/2004,3,18,516,1,6,4,68.0
3/1/2004,3,19,529,1,6,4,65.0
3/1/2004,3,20,545,1,6,4,63.0
3/1/2004,3,21,503,1,6,4,62.0
3/1/2004,3,22,488,1,6,4,62.0
3/1/2004,3,23,452,1,6,4,62.0
3/1/2004,3,24,387,1,6,4,62.0
4/1/2004,4,1,331,1,7,4,62.0
4/1/2004,4,2,316,1,7,4,62.0
4/1/2004,4,3,309,1,7,4,61.0
4/1/2004,4,4,312,1,7,4,61.0
4/1/2004,4,5,307,1,7,4,61.0
4/1/2004,4,6,327,1,7,4,61.0
4/1/2004,4,7,346,1,7,4,61.0
4/1/2004,4,8,375,1,7,4,61.0
4/1/2004,4,9,483,1,7,4,61.0
4/1/2004,4,10,521,1,7,4,63.0
4/1/2004,4,11,486,1,7,4,65.0
4/1/2004,4,12,496,1,7,4,70.0
4/1/2004,4,13,481,1,7,4,73.0
4/1/2004,4,14,501,1,7,4,76.0
4/1/2004,4,15,447,1,7,4,74.0
4/1/2004,4,16,417,1,7,4,74.0
4/1/2004,4,17,444,1,7,4,72.0
4/1/2004,4,18,493,1,7,4,71.0
4/1/2004,4,19,477,1,7,4,68.0
4/1/2004,4,20,469,1,7,4,66.0
4/1/2004,4,21,495,1,7,4,64.0
4/1/2004,4,22,461,1,7,4,63.0
4/1/2004,4,23,399,1,7,4,64.0
4/1/2004,4,24,339,1,7,4,65.0
5/1/2004,5,1,310,1,1,4,66.0
5/1/2004,5,2,304,1,1,4,66.0
5/1/2004,5,3,300,1,1,4,65.0
5/1/2004,5,4,294,1,1,4,65.0
5/1/2004,5,5,301,1,1,4,65.0
5/1/2004,5,6,343,1,1,4,65.0
5/1/2004,5,7,431,1,1,4,65.0
5/1/2004,5,8,434,1,1,4,65.0
5/1/2004,5,9,439,1,1,4,65.0
5/1/2004,5,10,408,1,1,4,69.0
5/1/2004,5,11,421,1,1,4,70.0
5/1/2004,5,12,430,1,1,4,71.0
5/1/2004,5,13,438,1,1,4,71.0
5/1/2004,5,14,388,1,1,4,70.0
5/1/2004,5,15,396,1,1,4,71.0
5/1/2004,5,16,399,1,1,4,71.0
5/1/2004,5,17,444,1,1,4,72.0
5/1/2004,5,18,553,1,1,4,70.0
5/1/2004,5,19,561,1,1,4,64.0
5/1/2004,5,20,570,1,1,4,63.0
5/1/2004,5,21,536,1,1,4,61.0
5/1/2004,5,22,536,1,1,4,61.0
5/1/2004,5,23,520,1,1,4,58.0
5/1/2004,5,24,430,1,1,4,51.0
6/1/2004,6,1,423,1,2,4,50.0
6/1/2004,6,2,417,1,2,4,50.0
6/1/2004,6,3,409,1,2,4,49.0
6/1/2004,6,4,417,1,2,4,47.0
6/1/2004,6,5,452,1,2,4,45.0
6/1/2004,6,6,467,1,2,4,45.0
6/1/2004,6,7,570,1,2,4,44.0
6/1/2004,6,8,579,1,2,4,42.0
6/1/2004,6,9,575,1,2,4,40.0
6/1/2004,6,10,540,1,2,4,42.0
6/1/2004,6,11,519,1,2,4,44.0
6/1/2004,6,12,527,1,2,4,45.0
6/1/2004,6,13,521,1,2,4,47.0
6/1/2004,6,14,522,1,2,4,48.0
6/1/2004,6,15,499,1,2,4,48.0
6/1/2004,6,16,529,1,2,4,48.0
6/1/2004,6,17,594,1,2,4,47.0
6/1/2004,6,18,675,1,2,4,44.0
6/1/2004,6,19,741,1,2,4,41.0
6/1/2004,6,20,764,1,2,4,40.0
6/1/2004,6,21,764,1,2,4,39.0
6/1/2004,6,22,765,1,2,4,37.0
6/1/2004,6,23,707,1,2,4,35.0
6/1/2004,6,24,656,1,2,4,33.0
7/1/2004,7,1,652,1,3,4,30.0
7/1/2004,7,2,649,1,3,4,29.0
7/1/2004,7,3,646,1,3,4,28.0
7/1/2004,7,4,650,1,3,4,27.0
7/1/2004,7,5,677,1,3,4,25.0
7/1/2004,7,6,704,1,3,4,24.0
7/1/2004,7,7,782,1,3,4,23.0
7/1/2004,7,8,800,1,3,4,22.0
7/1/2004,7,9,782,1,3,4,22.0
7/1/2004,7,10,741,1,3,4,25.0
7/1/2004,7,11,700,1,3,4,27.0
7/1/2004,7,12,671,1,3,4,29.0
7/1/2004,7,13,636,1,3,4,31.0
7/1/2004,7,14,608,1,3,4,33.0
7/1/2004,7,15,585,1,3,4,34.0
7/1/2004,7,16,610,1,3,4,35.0
7/1/2004,7,17,659,1,3,4,34.0
7/1/2004,7,18,785,1,3,4,32.0
7/1/2004,7,19,811,1,3,4,31.0
7/1/2004,7,20,765,1,3,4,30.0
7/1/2004,7,21,765,1,3,4,29.0
7/1/2004,7,22,733,1,3,4,28.0
7/1/2004,7,23,690,1,3,4,27.0
7/1/2004,7,24,646,1,3,4,27.0
8/1/2004,8,1,633,1,4,4,25.0
8/1/2004,8,2,625,1,4,4,26.0
8/1/2004,8,3,608,1,4,4,25.0
8/1/2004,8,4,627,1,4,4,22.0
8/1/2004,8,5,646,1,4,4,20.0
8/1/2004,8,6,668,1,4,4,23.0
8/1/2004,8,7,750,1,4,4,23.0
8/1/2004,8,8,757,1,4,4,19.0
8/1/2004,8,9,731,1,4,4,22.0
8/1/2004,8,10,677,1,4,4,29.0
8/1/2004,8,11,638,1,4,4,33.0
8/1/2004,8,12,622,1,4,4,35.0
8/1/2004,8,13,614,1,4,4,36.0
8/1/2004,8,14,605,1,4,4,38.0
8/1/2004,8,15,587,1,4,4,38.0
8/1/2004,8,16,586,1,4,4,38.0
8/1/2004,8,17,630,1,4,4,38.0
8/1/2004,8,18,710,1,4,4,37.0
8/1/2004,8,19,730,1,4,4,35.0
8/1/2004,8,20,727,1,4,4,35.0
8/1/2004,8,21,732,1,4,4,35.0
8/1/2004,8,22,731,1,4,4,32.0
8/1/2004,8,23,635,1,4,4,31.0
8/1/2004,8,24,576,1,4,4,30.0
9/1/2004,9,1,567,1,5,4,30.0
9/1/2004,9,2,542,1,5,4,31.0
9/1/2004,9,3,541,1,5,4,32.0
9/1/2004,9,4,525,1,5,4,32.0
9/1/2004,9,5,563,1,5,4,32.0
9/1/2004,9,6,566,1,5,4,32.0
9/1/2004,9,7,641,1,5,4,32.0
9/1/2004,9,8,662,1,5,4,32.0
9/1/2004,9,9,665,1,5,4,31.0
9/1/2004,9,10,657,1,5,4,31.0
9/1/2004,9,11,640,1,5,4,32.0
9/1/2004,9,12,647,1,5,4,32.0
9/1/2004,9,13,664,1,5,4,33.0
9/1/2004,9,14,674,1,5,4,33.0
9/1/2004,9,15,598,1,5,4,34.0
9/1/2004,9,16,638,1,5,4,34.0
9/1/2004,9,17,662,1,5,4,33.0
9/1/2004,9,18,749,1,5,4,32.0
9/1/2004,9,19,746,1,5,4,32.0
9/1/2004,9,20,747,1,5,4,32.0
9/1/2004,9,21,731,1,5,4,31.0
9/1/2004,9,22,716,1,5,4,31.0
9/1/2004,9,23,673,1,5,4,31.0
9/1/2004,9,24,611,1,5,4,31.0
10/1/2004,10,1,604,1,6,4,29.0
10/1/2004,10,2,582,1,6,4,27.0
10/1/2004,10,3,583,1,6,4,26.0
10/1/2004,10,4,610,1,6,4,24.0
10/1/2004,10,5,614,1,6,4,22.0
10/1/2004,10,6,641,1,6,4,22.0
10/1/2004,10,7,685,1,6,4,21.0
10/1/2004,10,8,729,1,6,4,19.0
10/1/2004,10,9,813,1,6,4,19.0
10/1/2004,10,10,815,1,6,4,19.0
10/1/2004,10,11,753,1,6,4,20.0
10/1/2004,10,12,737,1,6,4,21.0
10/1/2004,10,13,678,1,6,4,23.0
10/1/2004,10,14,671,1,6,4,24.0
10/1/2004,10,15,622,1,6,4,25.0
10/1/2004,10,16,642,1,6,4,25.0
10/1/2004,10,17,698,1,6,4,24.0
10/1/2004,10,18,761,1,6,4,23.0
10/1/2004,10,19,741,1,6,4,20.0
10/1/2004,10,20,799,1,6,4,18.0
