date,hour,weekday,month,load,Temp
1/1/2004,1,4,1,23339.0,42.0
1/1/2004,2,4,1,22100.0,43.0
1/1/2004,3,4,1,21376.0,43.0
1/1/2004,4,4,1,21335.0,39.0
1/1/2004,5,4,1,21564.0,35.0
1/1/2004,6,4,1,22241.0,35.0
1/1/2004,7,4,1,22937.0,33.0
1/1/2004,8,4,1,23666.0,33.0
1/1/2004,9,4,1,24110.0,35.0
1/1/2004,10,4,1,24116.0,42.0
1/1/2004,11,4,1,23718.0,51.0
1/1/2004,12,4,1,22770.0,55.0
1/1/2004,13,4,1,21866.0,59.0
1/1/2004,14,4,1,20771.0,60.0
1/1/2004,15,4,1,20122.0,61.0
1/1/2004,16,4,1,20073.0,62.0
1/1/2004,17,4,1,21130.0,59.0
1/1/2004,18,4,1,24825.0,53.0
1/1/2004,19,4,1,26427.0,46.0
1/1/2004,20,4,1,26461.0,43.0
1/1/2004,21,4,1,26200.0,44.0
1/1/2004,22,4,1,25378.0,42.0
1/1/2004,23,4,1,23826.0,44.0
1/1/2004,24,4,1,22026.0,46.0
2/1/2004,1,5,1,20564.0,47.0
2/1/2004,2,5,1,20121.0,48.0
2/1/2004,3,5,1,19764.0,48.0
2/1/2004,4,5,1,19683.0,48.0
2/1/2004,5,5,1,20647.0,47.0
2/1/2004,6,5,1,22806.0,46.0
2/1/2004,7,5,1,24602.0,47.0
2/1/2004,8,5,1,26422.0,46.0
2/1/2004,9,5,1,27309.0,46.0
2/1/2004,10,5,1,28473.0,47.0
2/1/2004,11,5,1,28774.0,49.0
2/1/2004,12,5,1,28102.0,52.0
2/1/2004,13,5,1,26392.0,53.0
2/1/2004,14,5,1,25394.0,55.0
2/1/2004,15,5,1,25164.0,58.0
2/1/2004,16,5,1,25033.0,58.0
2/1/2004,17,5,1,25784.0,58.0
2/1/2004,18,5,1,28994.0,56.0
2/1/2004,19,5,1,30139.0,52.0
2/1/2004,20,5,1,29436.0,50.0
2/1/2004,21,5,1,28756.0,48.0
2/1/2004,22,5,1,28097.0,47.0
2/1/2004,23,5,1,26696.0,48.0
2/1/2004,24,5,1,24589.0,49.0
3/1/2004,1,6,1,22748.0,48.0
3/1/2004,2,6,1,21455.0,49.0
3/1/2004,3,6,1,20959.0,46.0
3/1/2004,4,6,1,20532.0,46.0
3/1/2004,5,6,1,21449.0,44.0
3/1/2004,6,6,1,22975.0,41.0
3/1/2004,7,6,1,24173.0,43.0
3/1/2004,8,6,1,25211.0,44.0
3/1/2004,9,6,1,26301.0,46.0
3/1/2004,10,6,1,26440.0,51.0
3/1/2004,11,6,1,26496.0,58.0
3/1/2004,12,6,1,25105.0,63.0
3/1/2004,13,6,1,23758.0,68.0
3/1/2004,14,6,1,22725.0,71.0
3/1/2004,15,6,1,21907.0,73.0
3/1/2004,16,6,1,21586.0,73.0
3/1/2004,17,6,1,21685.0,72.0
3/1/2004,18,6,1,24175.0,67.0
3/1/2004,19,6,1,24618.0,64.0
3/1/2004,20,6,1,23812.0,62.0
3/1/2004,21,6,1,23097.0,61.0
3/1/2004,22,6,1,21471.0,61.0
3/1/2004,23,6,1,19695.0,60.0
3/1/2004,24,6,1,17957.0,61.0
4/1/2004,1,7,1,16657.0,62.0
4/1/2004,2,7,1,15766.0,61.0
4/1/2004,3,7,1,15095.0,61.0
4/1/2004,4,7,1,14790.0,61.0
4/1/2004,5,7,1,14949.0,61.0
4/1/2004,6,7,1,15181.0,61.0
4/1/2004,7,7,1,15794.0,60.0
4/1/2004,8,7,1,16953.0,60.0
4/1/2004,9,7,1,18469.0,60.0
4/1/2004,10,7,1,19453.0,62.0
4/1/2004,11,7,1,19007.0,64.0
4/1/2004,12,7,1,17709.0,68.0
4/1/2004,13,7,1,17381.0,69.0
4/1/2004,14,7,1,17080.0,69.0
4/1/2004,15,7,1,16766.0,70.0
4/1/2004,16,7,1,16644.0,70.0
4/1/2004,17,7,1,17592.0,70.0
4/1/2004,18,7,1,20547.0,69.0
4/1/2004,19,7,1,21341.0,66.0
4/1/2004,20,7,1,20702.0,64.0
4/1/2004,21,7,1,20514.0,63.0
4/1/2004,22,7,1,19243.0,63.0
4/1/2004,23,7,1,17586.0,64.0
4/1/2004,24,7,1,15966.0,64.0
5/1/2004,1,1,1,14665.0,64.0
5/1/2004,2,1,1,14223.0,64.0
5/1/2004,3,1,1,14357.0,63.0
5/1/2004,4,1,1,14502.0,63.0
5/1/2004,5,1,1,15388.0,64.0
5/1/2004,6,1,1,18462.0,64.0
5/1/2004,7,1,1,22474.0,64.0
5/1/2004,8,1,1,24595.0,65.0
5/1/2004,9,1,1,23762.0,64.0
5/1/2004,10,1,1,23654.0,65.0
5/1/2004,11,1,1,23689.0,66.0
5/1/2004,12,1,1,23918.0,65.0
5/1/2004,13,1,1,23684.0,64.0
5/1/2004,14,1,1,23323.0,64.0
5/1/2004,15,1,1,23264.0,65.0
5/1/2004,16,1,1,23460.0,65.0
5/1/2004,17,1,1,25147.0,61.0
5/1/2004,18,1,1,27685.0,60.0
5/1/2004,19,1,1,28354.0,59.0
5/1/2004,20,1,1,28000.0,57.0
5/1/2004,21,1,1,26991.0,56.0
5/1/2004,22,1,1,25702.0,54.0
5/1/2004,23,1,1,23567.0,51.0
5/1/2004,24,1,1,21478.0,47.0
6/1/2004,1,2,1,19767.0,45.0
6/1/2004,2,2,1,19050.0,44.0
6/1/2004,3,2,1,19466.0,42.0
6/1/2004,4,2,1,20067.0,41.0
6/1/2004,5,2,1,22010.0,39.0
6/1/2004,6,2,1,24476.0,38.0
6/1/2004,7,2,1,28577.0,35.0
6/1/2004,8,2,1,31360.0,34.0
6/1/2004,9,2,1,29791.0,34.0
6/1/2004,10,2,1,28644.0,37.0
6/1/2004,11,2,1,28043.0,41.0
6/1/2004,12,2,1,27300.0,42.0
6/1/2004,13,2,1,26644.0,44.0
6/1/2004,14,2,1,26120.0,44.0
6/1/2004,15,2,1,25562.0,44.0
6/1/2004,16,2,1,25586.0,44.0
6/1/2004,17,2,1,27024.0,43.0
6/1/2004,18,2,1,30584.0,40.0
6/1/2004,19,2,1,32135.0,37.0
6/1/2004,20,2,1,32700.0,34.0
6/1/2004,21,2,1,34620.0,31.0
6/1/2004,22,2,1,33503.0,30.0
6/1/2004,23,2,1,31532.0,28.0
