date,day,hour,load,month,weekday,zone,Temp
1/1/2004,1,1,"16,853",1,4,1,46.0
1/1/2004,1,2,"16,450",1,4,1,46.0
1/1/2004,1,3,"16,517",1,4,1,45.0
1/1/2004,1,4,"16,873",1,4,1,41.0
1/1/2004,1,5,"17,064",1,4,1,39.0
1/1/2004,1,6,"17,727",1,4,1,35.0
1/1/2004,1,7,"18,574",1,4,1,33.0
1/1/2004,1,8,"19,355",1,4,1,33.0
1/1/2004,1,9,"19,534",1,4,1,36.0
1/1/2004,1,10,"18,611",1,4,1,47.0
1/1/2004,1,11,"17,666",1,4,1,53.0
1/1/2004,1,12,"16,374",1,4,1,54.0
1/1/2004,1,13,"15,106",1,4,1,55.0
1/1/2004,1,14,"14,455",1,4,1,55.0
1/1/2004,1,15,"13,518",1,4,1,55.0
1/1/2004,1,16,"13,138",1,4,1,55.0
1/1/2004,1,17,"14,130",1,4,1,52.0
1/1/2004,1,18,"16,809",1,4,1,46.0
1/1/2004,1,19,"18,150",1,4,1,40.0
1/1/2004,1,20,"18,235",1,4,1,40.0
1/1/2004,1,21,"17,925",1,4,1,39.0
1/1/2004,1,22,"16,904",1,4,1,38.0
1/1/2004,1,23,"16,162",1,4,1,40.0
1/1/2004,1,24,"14,750",1,4,1,41.0
2/1/2004,2,1,"14,155",1,5,1,43.0
2/1/2004,2,2,"14,038",1,5,1,44.0
2/1/2004,2,3,"14,019",1,5,1,46.0
2/1/2004,2,4,"14,489",1,5,1,46.0
2/1/2004,2,5,"14,920",1,5,1,47.0
2/1/2004,2,6,"16,072",1,5,1,47.0
2/1/2004,2,7,"17,800",1,5,1,47.0
2/1/2004,2,8,"19,089",1,5,1,47.0
2/1/2004,2,9,"19,577",1,5,1,47.0
2/1/2004,2,10,"20,047",1,5,1,47.0
2/1/2004,2,11,"19,770",1,5,1,47.0
2/1/2004,2,12,"18,564",1,5,1,49.0
2/1/2004,2,13,"18,137",1,5,1,52.0
2/1/2004,2,14,"17,046",1,5,1,56.0
2/1/2004,2,15,"16,127",1,5,1,54.0
2/1/2004,2,16,"15,448",1,5,1,56.0
2/1/2004,2,17,"15,839",1,5,1,57.0
2/1/2004,2,18,"17,727",1,5,1,53.0
2/1/2004,2,19,"18,895",1,5,1,50.0
2/1/2004,2,20,"18,650",1,5,1,47.0
2/1/2004,2,21,"18,443",1,5,1,46.0
2/1/2004,2,22,"17,580",1,5,1,45.0
2/1/2004,2,23,"16,467",1,5,1,45.0
2/1/2004,2,24,"15,258",1,5,1,45.0
3/1/2004,3,1,"14,439",1,6,1,45.0
3/1/2004,3,2,"14,272",1,6,1,46.0
3/1/2004,3,3,"14,109",1,6,1,46.0
3/1/2004,3,4,"14,081",1,6,1,44.0
3/1/2004,3,5,"14,775",1,6,1,43.0
3/1/2004,3,6,"15,491",1,6,1,46.0
3/1/2004,3,7,"16,536",1,6,1,46.0
3/1/2004,3,8,"18,197",1,6,1,47.0
3/1/2004,3,9,"19,109",1,6,1,51.0
3/1/2004,3,10,"18,012",1,6,1,55.0
3/1/2004,3,11,"17,200",1,6,1,56.0
3/1/2004,3,12,"15,950",1,6,1,59.0
3/1/2004,3,13,"14,978",1,6,1,65.0
3/1/2004,3,14,"14,162",1,6,1,68.0
3/1/2004,3,15,"13,507",1,6,1,69.0
3/1/2004,3,16,"13,414",1,6,1,68.0
